id,pps_actual_20,pps_anterior_20,asistencia_teorico_pct,asistencia_laboratorio_pct,asistencia_total_pct,autoeficacia_academica,entregas_tarea_puntual,horas_de_estudio_semana,indice_procrastinacion,alimentacion,actividad_fisica,horas_pantalla_no_academica,horas_sueno,habitos_vida,puntualidad_pago,ingresos_mensual,deuda_academica,tipo_financiamiento,costo_servicio_mensual,indice_financiero,horas_deporte,horas_cultura,horas_extracurriculares,horas_trabajo_semana,estres,apoyo_social,rendimiento,riesgo_de_desercion,bienestar_estudiantil
1,Previsto,Previsto,Excelente,Media,Alta,Alta,Consistente,Limitado,Ocasional,Moderada,Baja,Bajo,Adecuado,Excelente,Impuntual,Medio,Con_deuda,Financiamiento_Familiar,Bajo,Vulnerable,Ocasional,Constante,Media,Tiempo_completo,Alto,Bueno,Previsto,Bajo,Excelente
2,Inicio,Inicio,Media,Excelente,Alta,Excelente,Consistente,Adecuado,Frecuente,Moderada,Constante,Moderado,Deficiente,Deficiente,Puntual,Medio,Sin_deuda,Pago_Directo,Bajo,Estable,Constante,Frecuente,Alta,Parcial_baja,Alto,Excelente,Previsto,Bajo,Regular
3,Destacado,Destacado,Alta,Alta,Alta,Media,Consistente,Intensivo,Ocasional,Inadecuada,Frecuente,Bajo,Adecuado,Bueno,Puntual,Bajo,Sin_deuda,Credito,Bajo,Sostenible,Frecuente,Nula,Baja,Parcial_alta,Moderado,Insuficiente,Destacado,Alto,Critico
4,Previsto,Previsto,Alta,Media,Media,Media,Consistente,Intensivo,Frecuente,Inadecuada,Constante,Alto,Excesivo,Deficiente,Puntual,Alto,Sin_deuda,Financiamiento_Familiar,Bajo,Sostenible,Constante,Ocasional,Media,Parcial_alta,Moderado,Insuficiente,Previsto,Alto,Critico
5,Destacado,Destacado,Excelente,Baja,Media,Excelente,Consistente,Intensivo,Ocasional,Moderada,Baja,Bajo,Adecuado,Excelente,Puntual,Muy_Bajo,Con_deuda,Financiamiento_Familiar,Bajo,Vulnerable,Ocasional,Frecuente,Media,Parcial_baja,Alto,Bueno,Destacado,Bajo,Excelente
6,Inicio,Inicio,Media,Alta,Media,Alta,Moderado,Limitado,Constante,Moderada,Baja,Alto,Deficiente,Deficiente,Puntual,Muy_Bajo,Sin_deuda,Pago_Directo,Bajo,Estable,Ocasional,Constante,Media,Ninguna,Muy_alto,Excelente,En_proceso,Medio,Critico
7,Destacado,Destacado,Media,Alta,Media,Alta,Ejemplar,Intensivo,Minimo,Moderada,Nula,Bajo,Adecuado,Excelente,Puntual,Medio,Sin_deuda,Pago_Directo,Bajo,Sostenible,Nula,Frecuente,Baja,Ninguna,Moderado,Moderado,Destacado,Bajo,Regular
8,Inicio,Inicio,Media,Media,Baja,Baja,Consistente,Insuficiente,Constante,Inadecuada,Constante,Alto,Excesivo,Deficiente,Puntual,Bajo,Con_deuda,Beca_Total,Bajo,Vulnerable,Constante,Constante,Alta,Tiempo_completo,Bajo,Moderado,Inicio,Medio,Regular
9,Previsto,Previsto,Alta,Excelente,Excelente,Alta,Ejemplar,Adecuado,Minimo,Inadecuada,Constante,Bajo,Regular,Regular,Puntual,Medio,Sin_deuda,Financiamiento_Familiar,Bajo,Sostenible,Constante,Ocasional,Media,Tiempo_completo,Muy_alto,Bueno,Destacado,Medio,Critico
10,Destacado,Destacado,Media,Baja,Baja,Media,Consistente,Adecuado,Ocasional,Adecuada,Nula,Bajo,Excesivo,Excelente,Puntual,Medio,Sin_deuda,Beca_Total,Muy_Bajo,Sostenible,Nula,Ocasional,Baja,Parcial_alta,Bajo,Moderado,Previsto,Medio,Excelente
