id,sex,semestre,carrera,tipo_colegio,pps_actual_20,pps_anterior_20,horas_de_estudio_semana,horas_trabajo_semana,horas_deporte,horas_cultura,horas_extracurriculares,horas_sueno,estres,apoyo_social,autoeficacia_academica,entregas_tarea_puntual,ingresos_mensual_cat,tipo_financiamiento,costo_servicio_mensual_cat,horas_pantalla_no_academica,deuda_academica_label,puntualidad_pago_label,indice_financiero,rendimiento,asistencia_total_pct,asistencia_teorico_pct,asistencia_laboratorio_pct,indice_procrastinacion,alimentacion,phc_score,tiene_hijos,riesgo_de_desercion,bienestar_estudiantil,actividad_fisica
1,M,5,Salud,Publico,13.49,14.75,5.92,58.3,32.84,72.55,80.0,14.48,32.88,53.78,47.32,74.69,Medio,Financiamiento_familiar,Bajo,20.8,Con deuda,Impuntual,16.31,74.11,67.91,80.04,39.62,41.74,2.96,48.1,0,38.836612378702554,73.87004945934453,32.84
2,F,4,Salud,Publico,7.17,6.92,11.92,25.88,74.66,46.99,80.0,1.91,63.29,79.03,54.15,77.04,Medio,Pago_directo,Bajo,15.03,Sin deuda,Puntual,61.21,57.83,60.91,45.7,96.38,54.54,4.74,14.29,0,63.259870668408304,61.84429498070608,74.66
3,F,2,Ingenieria,Privado,18.49,19.05,13.53,53.2,50.99,6.83,58.34,16.39,29.83,1.75,43.44,70.92,Bajo,Credito,Bajo,16.06,Sin deuda,Puntual,63.74,82.95,58.63,60.65,53.9,43.17,1.34,39.13,0,25.56812292095938,66.8086969362956,50.99
4,F,6,Ciencias_Sociales,Concertado,13.28,14.22,14.62,44.53,64.15,35.98,80.0,22.38,0.0,0.0,40.54,77.83,Alto,Financiamiento_familiar,Bajo,3.03,Sin deuda,Puntual,100.0,69.45,50.93,60.43,28.79,53.13,1.14,16.74,0,45.83155900772916,100.0,64.15
5,M,5,Salud,Privado,20.0,20.0,17.02,27.42,37.31,60.51,80.0,13.82,11.57,52.28,64.88,74.72,Muy_bajo,Financiamiento_familiar,Bajo,22.7,Con deuda,Puntual,21.99,90.55,61.51,82.72,12.03,40.04,3.7,35.99,0,14.18059705406206,76.99145593015844,37.31
6,M,1,Salud,Concertado,4.39,4.27,5.63,10.77,28.93,63.53,80.0,3.03,49.41,76.95,49.53,62.84,Muy_bajo,Pago_directo,Bajo,3.18,Sin deuda,Puntual,59.1,44.35,50.86,42.5,70.35,67.54,3.0,15.34,0,27.824140365549056,81.27154125299097,28.93
7,M,7,Artes,Concertado,18.62,19.35,15.45,7.55,8.67,39.57,51.59,13.96,0.0,27.67,52.59,91.95,Medio,Pago_directo,Bajo,18.59,Sin deuda,Puntual,70.75,84.45,38.63,27.54,64.49,20.83,3.63,78.16,0,7.773322271470123,73.73285335845435,8.67
8,F,6,Artes,Privado,4.83,5.12,2.37,66.52,70.07,71.58,80.0,18.39,29.65,34.96,38.6,70.02,Bajo,Beca_total,Bajo,6.36,Con deuda,Puntual,29.38,40.88,29.77,26.5,37.39,66.59,2.58,42.15,0,44.338211604851125,93.9150088498355,70.07
9,F,7,Artes,Publico,14.64,15.36,12.69,73.47,62.65,21.41,80.0,9.75,48.54,54.63,51.42,78.33,Medio,Financiamiento_familiar,Bajo,22.41,Sin deuda,Puntual,70.23,77.84,66.06,53.62,95.09,17.97,1.99,55.39,0,33.24148259547228,61.145408961068526,62.65
10,F,5,Negocios,Publico,17.23,17.79,13.36,51.98,13.45,32.85,49.54,21.12,0.0,27.42,39.58,70.9,Medio,Beca_total,Muy_bajo,17.28,Sin deuda,Puntual,72.73,72.78,32.11,44.91,2.22,42.79,5.13,23.1,0,20.41172734358169,84.20601997586104,13.45
11,M,4,Negocios,Publico,17.78,18.88,12.2,8.27,40.98,71.89,80.0,15.57,0.0,0.0,40.67,65.0,Muy_bajo,Financiamiento_familiar,Bajo,18.09,Sin deuda,Impuntual,38.2,74.75,39.92,44.01,30.37,36.81,4.09,31.01,0,12.626398388979338,78.0723052206519,40.98
12,F,3,Negocios,Privado,12.55,13.26,4.54,32.16,38.99,71.7,80.0,21.58,0.0,73.52,44.04,56.48,Medio,Credito,Muy_bajo,5.26,Sin deuda,Puntual,65.78,58.4,34.01,9.11,92.11,45.7,2.2,22.72,0,62.39865724765183,100.0,38.99
13,F,7,Ciencias,Privado,17.98,18.08,15.71,58.32,50.01,54.86,80.0,14.96,37.4,62.56,44.62,79.89,Bajo,Credito,Bajo,10.63,Sin deuda,Puntual,52.81,84.37,59.93,71.86,32.09,46.21,2.92,31.92,0,23.449906530745146,87.58077662270968,50.01
14,M,6,Ingenieria,Publico,5.2,6.11,3.04,62.39,75.69,68.72,80.0,3.15,88.93,58.08,44.0,67.46,Bajo,Credito,Bajo,14.83,Con deuda,Puntual,23.13,39.9,22.53,21.37,25.23,68.7,4.55,45.42,0,95.0,51.70703864348294,75.69
15,M,1,Ciencias_Sociales,Concertado,6.45,6.2,0.97,9.46,46.38,7.1,55.63,7.43,21.88,69.17,40.6,61.95,Medio,Financiamiento_familiar,Bajo,18.48,Sin deuda,Puntual,72.79,43.13,29.81,19.7,53.42,39.15,1.43,36.35,0,28.43737538173969,67.79847647079724,46.38
